2	0	11	0
22	0	33	0
5	0	18	0
30	0	42	0
14	0	25	0
21	1	28	1
16	0	23	1
7	0	16	1
28	0	36	0
3	1	12	1
22	2	29	2
12	2	26	2
24	2	31	1
26	1	35	1
5	1	19	2
19	3	28	3
2	2	12	3
19	1	32	2
23	3	31	3
9	0	14	2
9	1	16	4
7	1	19	4
21	3	28	4
15	3	22	4
17	2	28	5
31	4	39	0
4	2	10	4
19	5	25	6
10	2	23	5
9	3	17	6
21	5	31	5
13	4	22	6
8	2	17	7
25	3	35	2
17	3	23	7
15	5	22	8
20	6	25	4
21	9	35	3
9	5	16	8
28	6	34	4
14	6	20	7
2	3	13	7
11	5	20	10
1	1	12	8
25	8	37	4
17	5	24	9
6	2	19	11
1	4	7	4
5	3	12	9
27	7	34	5
19	8	29	7
30	6	35	6
19	9	27	8
8	6	13	10
23	10	32	6
26	5	32	7
27	9	41	1
13	5	19	12
15	9	25	10
17	9	30	8
16	10	22	11
10	6	18	13
28	10	33	8
26	11	33	9
12	6	22	12
15	11	26	12
4	4	12	11
29	9	41	2
11	7	16	12
7	3	17	14
6	5	15	13
24	13	32	10
14	12	24	14
18	10	30	11
26	13	33	11
28	11	37	5
6	6	17	15
9	7	15	16
5	7	14	17
22	13	36	7
12	12	27	14
22	14	31	12
17	11	29	13
30	10	45	0
7	7	20	15
26	15	36	8
23	15	32	13
31	9	40	3
29	12	40	4
23	16	38	1
30	14	38	2
3	5	18	16
29	15	44	1
3	6	10	10
20	14	26	16
17	17	23	17
18
